title,date,
Oil Prices Continue Advance. ,1989-01-19,
Oil Production Figures Released. ,1989-01-25,
Opec Planners Huddle On Crude Oil Prices. ,1989-01-26,
Crude Oil Prices Soar. ,1989-01-26,
Groups Seek Oil Price-Support Agreement. ,1989-01-27,
International Opec Attempt To Secure Accord To Boost Prices. ,1989-01-28,
Oil-Drilling Measure Aims To Protect Bay. ,1989-01-30,
Wildlife Study Threatened By Antarctic Spill. ,1989-02-05,
Crude Oil Futures Bound Back After Early Slide. ,1989-02-08,
Wholesale Prices Soar. ,1989-02-10,
Oil Flows Threaten Continent's Pristine Environment. ,1989-02-10,
Energy Futures Fall Sharply. ,1989-02-11,
Crude Oil Prices Decline. ,1989-02-14,
Independent Producers Offering To Help Opec. ,1989-02-22,
Petroleum Futures Mixed. ,1989-02-24,
Earnings From Crude Oil Up. ,1989-02-24,
China Discovers New Oilfields. ,1989-02-26,
Demand Drops Ohioans Also Suffer From Oil Price's,1989-02-26,
Egypt Raises Oil Price. ,1989-03-01,
Energy Futures Go Higher. ,1989-03-02,
Ocean Fungus May Be Partial To Oil Spill Snack. ,1989-05-01,
Nw Asks Gas-Price Probe. 3 States Federal. At The Gas Pumps. ,1989-05-02,
Crude Oil Prices Increase. ,1989-05-02,
Oil Prices Fall As Saudis Boost Output. ,1989-05-03,
Investigation In New York Slows Trading. ,1989-05-05,
A Devastating Oil Spill. ,1989-05-06,
Oil Firm Eyes Expansion ,1989-05-07,
"Big Oil Spill Would Still Overwhelm Puget Sound Equipment, ",1989-05-08,
Rising Demand Boosts Market For Opec Oil. ,1989-05-10,
Company Linked To Theft Of Indian Oil. ,1989-05-10,
World. Could Bear Higher. Oil Price. ,1989-05-11,
Oil Price Increase Fuels Inflation ,1989-05-12,
Valdez Oil Spill Rearranging Alaskan Political Alliances. ,1989-05-13,
Halibut Season Opens Despite Oil. ,1989-05-15,
Toughest Taskmaster Battles The Oil Spill. ,1989-05-16,
Saudis Join Texaco At Gas Pumps. ,1989-05-17,
Crude Oil Futures Soar. ,1989-05-17,
Energy Prices Deteriorate. ,1989-05-18,
Hearing On Oil Spill Ends With No Admissions Of Testimony ,1989-05-22,
Gas Prices Rise Sharply. ,1989-05-22,
Price Hike Not Blamed On Oil Spill. ,1989-05-22,
Gas Station Operators Want Pricing Scrutinized. ,1989-05-25,
Now The Saudis Even Pump Gas. ,1989-05-26,
Exxon Wants To Share Dirty Work With Mother Nature. ,1989-08-01,
Oil Prices Fall In Hurricane's Wake. ,1989-08-02,
Doren Asks Lax Oreai For For Oil-Gas Industry.,1989-08-06,
Joe Sludge Does Impossible Completes Alaskan Cleanup. ,1989-08-07,
Make Drilling Ban Permanent For Sta. ,1989-08-08,
Unnatural Stillness Haunts Prince William Sound. ,1989-08-09,
"Nc Gas Prices Lower, Despite Tax Increase. ",1989-08-12,
China Oil Blaze Toll 1 1. ,1989-08-14,
"Alaska Sues Exxon, Six Other Firms. Spill Damages Could Be ",1989-08-15,
Alaska Suing 7 Firms Over Valdez Oil Spill. ,1989-08-16,
China Fines 5 Major Companies For Illegal Activities. ,1989-08-16,
Oil Imports Top 50 Percent For First Time In 12 Years. ,1989-08-17,
Exxon Cleanup Creates New Woes. ,1989-08-25,
Clear-Air Needs Leading To Cleaner Gas. ,1989-08-27,
Congressional Oil Spill Bill Fight Anticipated,1989-10-02,
Floor Fight Expected On House Oil Spill Bill. ,1989-10-02,
Cocoa Hits 16-Year Low Over Ivory Coast Worries. ,1989-10-03,
Europeans Meet With Eye To Cooperation ,1989-10-05,
Sun Begins Modernization Work. ,1989-10-06,
Crude Oil Leak. ,1989-10-06,
Travel Alaska: Tourists Are Still The State's Pipeline. ,1989-10-07,
Gas Prices Steady As Crude Oil Supplies Rise. ,1989-10-09,
Signs Point To Another Oil Crisis. ,1989-10-10,
New Oil Find Off African Coast. ,1989-10-12,
Energy Efficiency May Be Factor In The Future. ,1989-10-14,
Ex-Tanker Captain Claims Immunity. ,1989-10-18,
Copper Prices Off Agai. ,1989-10-19,
Consumer Prices Rise By 0.2 Percent During September. ,1989-10-19,
Consumer Prices Climb Slightly. Unexpectedly Modest Increase ,1989-10-20,
Recession Fears Fuel Copper Futures Selloff. ,1989-10-25,
Oil Futures Prices End Mixed. ,1989-10-26,
Alaska Stops Big Oil Tanker. ,1989-10-27,
"Profits Fall At Shell, Mobile And Chevron ",1989-10-31,
Cold Spell Sends Oil Higher. ,1989-12-05,
Ship Damages Oil Platform In The Suez. ,1989-12-09,
Ill Fears Revive Talk Of Pipeline. ,1989-12-11,
Police Suspect Crosby Committed Suicide As Inheritance Ran Out,1989-12-12,
Oil Spill Trial Stays On Course. ,1989-12-13,
Energy Futures Weaken. ,1989-12-14,
"Refinery Is Operating, Owners Say. ",1989-12-15,
Egypt Raises Oil Prices Cents. ,1989-12-17,
"Heating Oil, Orange Juice Futures Rise. ",1989-12-22,
Home Heating Oil Prices Surging,1989-12-23,
Large Blaze At Oil Refinery Kills Worker. ,1989-12-25,
Explosion Closes Refinery. ,1989-12-26,
Officials Search For Worker. Following Refinery Explosion ,1989-12-26,
Forecast Sees Renewal Of Foreign Oil Dependence. ,1989-12-28,
"Oil, Gas Prices Up 7st A Gallon Conoco Blames Shrinking Supply",1989-12-30,
Energy Futures Prices Soar. ,1989-12-30,
Man Listed As Critical After Truck Fire. ,1990-03-03,
Oil Still Drives Economy Of Permian Basin ,1990-03-04,
Oil Barge Explodes Violently. ,1990-03-07,
Oil And Gas Resources Fuel Industrialisation ,1990-03-10,
Energy Futures Decline. ,1990-03-14,
Opec Oil Ministers Won't Be Tinkering With Success. ,1990-03-15,
Specials Look At Oil Spill. ,1990-03-18,
"One Year Later, Oil Spill Is Hidden, Not Gone. ",1990-03-20,
Mobil Expanding Texas Refinery. ,1990-03-22,
"Producers Expect Price Of Oil To Drop, Then Rise. ",1990-03-26,
Oil Spill Leaves Legal Swamp. ,1990-03-26,
Large Oil And Gas Reserves In Gulf Of Thailand ,1990-03-27,
Oil Futures Remain Mixed. ,1990-03-28,
"One Year Later, Nation's Worst Oil Spill Is Hidden",1990-03-30,
Report Sees Need For Oil Spill Study. ,1990-03-31,
Crude Runs For Week Show Hike. ,1990-04-07,
For Week Show Hike. ,1990-04-08,
"Soybean Futures Rally, Fall. ",1990-05-02,
Uncertainty Caps Investments In Oil. ,1990-05-06,
Oil Spill Prevention Bill Gains. ,1990-05-08,
Wholesale Prices Fall. ,1990-05-11,
Oil Washes Ashore In England ,1990-05-16,
Soybean Price Slide Steepens. ,1990-05-16,
Crude Effect Of Oil Disaster. ,1990-05-19,
Exxon Crews Spread Fertilizer On Oil Spill. ,1990-05-20,
Crude Oil Prices Tumble. ,1990-05-23,
Cocoa Futures Hit 14-Month High. ,1990-05-25,
Big Oil Companies Give Lithuania Cold Shoulder. ,1990-05-29,
Fuel The Uprising. ,1990-05-29,
Copper Futures Tumble. ,1990-05-30,
Energy Futures Advance. ,1990-05-31,
"Beans, Pork Boosted By Forecasts. ",1990-07-03,
Exxon Valdez To Be Renamed. Tanker Involved In Alaska Oil ,1990-07-07,
Exxon Valdez In Service Under Name Of Exxon Mediterranean ,1990-07-08,
Litre Dragging Its Feet On Assam Projects. ,1990-07-09,
Wholesale Gas Prices Surge. ,1990-07-10,
Residents Question Refinery Representatives. ,1990-07-12,
Cabinet Deregulates Oil Prices.,1990-07-12,
Oil Firms Driven To Clean Up Acts. ,1990-07-13,
Conoco Wins State Approval To Build Plant. ,1990-07-14,
Oil Prices Soar On Saudi Decision ,1990-07-14,
Gas Prices In Lexington Area Match The National Average. ,1990-07-16,
Crude Oil Prices Drop. ,1990-07-18,
Questor Drilling Sold; Expansion Seen. ,1990-07-20,
Crude Oil Futures Rise. ,1990-07-21,
Crippled Tanker Loses Oil. ,1990-07-22,
Threats From Iraq Casting Shadow On Opec Meeting. ,1990-07-23,
"Gas Prices Hold Steady, Cheaper Crude Oil Cited. ",1990-07-23,
Oil Futures Advance; Opec Agreement Nears. ,1990-07-24,
Soybean Futures Tumble. ,1990-07-25,
Oil Prices Fall For Pledge.,1990-07-26,
Opec Ministers In Talks That Could Lead To Oil Price Increase,1990-07-26,
Opec Ministers Ok Higher Price For Oil. ,1990-07-27,
House-Senate Panel Approves Oil Spill Bill,1990-07-27,
Opec Settles On Crude Oil Price. ,1990-07-27,
"Opec Tightens Grip, Raises Prices. ",1990-07-27,
Texas Oil Spill Spreads,1990-07-30,
Experts Say Gulf War Could Triple Oil Prices. ,1990-11-01,
Experts Say Gulf War Could Hike Gas Prices To $3 A Gallon ,1990-11-01,
Foes Gathering Ammo For Fight Over Puget Sound Oil Pipeline,1990-11-04,
Energy Conservation Measures. ,1990-11-05,
Prices Of Crude Oil Decline. ,1990-11-06,
Oil Prices Fall As Market Recovers From Gulf Jitters'. ,1990-11-06,
Saudi Output Undercuts Oil Prices. ,1990-11-06,
"Gas Prices Dip For Now, At Least. ",1990-11-07,
New Oil Price Hike.,1990-11-08,
World Oil Glut Should Drive Prices Down In Near Future,1990-11-09,
Big Oil's Top Spokesman Accustomed To Criticism. ,1990-11-11,
Oil Futures Prices Fall. ,1990-11-12,
Iroquois Natural Gas Would Be Pegged To Fluctuating Oil Price,1990-11-13,
Us Energy Official Sees No Fuel Price Gouging. ,1990-11-14,
Crude Oil Price Drops. ,1990-11-15,
Oil Spilled In North Atlantic. ,1990-11-16,
Over 4 Million Gallons Of Oil Spilled. ,1990-11-17,
Big Crude Oil Spill Termed,1990-11-18,
"Oil Profits Mixed, Report Says. ",1990-11-20,
Oil Industry Officials Talk About Prices. ,1990-11-21,
Oil-Producing Nations Rake In Profits.,1990-11-22,
"Oil Prices Could Drop, But Not To Old Levels. ",1990-11-26,
Oil Prices Rise A Bit. ,1991-02-01,
Opec Trims Production As Demand Drops,1991-02-05,
Opec Trims Production As Demand Drops. ,1991-02-06,
Opec Crude Oil Production Shows Decline. ,1991-02-12,
Opec Output Dips Due To War-Related Disruptions. ,1991-02-13,
War Outcome Could Slash High Oil Profits. ,1991-02-19,
Big Oil Touts Relative Price Of Gas. ,1991-02-20,
Gas Prices Lose Their Punch. ,1991-02-20,
Oil Prices Rebound. ,1991-02-26,
Iraq Takes Kuwait; Oil Prices Soar. ,1991-05-01,
Energy Prices Shoot Up. ,1991-05-02,
Shell Finds Major Oil Field In Gulf Of Mexico. ,1991-05-04,
Major Oil Field Found In Gulf Of Mexico,1991-05-04,
Oil Officials Work To Contair Pipeline Leak. ,1991-05-08,
Crude Oil Prices Rise. ,1991-05-08,
Exxon Brass To Give Depositions On Spill. ,1991-05-11,
Exxon Corp. Executives Agree To Give Depositions. ,1991-05-12,
Firm Faces Liability In Area Oil Spill. ,1991-05-13,
Energy Futures End Mixed. ,1991-05-17,
Gross Domestic Product Among The Highest. ,1991-05-17,
Malaysia Set To Be A Major Oil Producer. ,1991-05-22,
"Saudis Say Oil Still Leaking From Kuwaiti, Iraqi Ports. ",1991-05-22,
Pipeline Safety Concerns Spur Bills. ,1991-05-26,
Us Firms May Buy Country's Oil. ,1991-05-29,
Us Companies Dealing For Iranian Oil. ,1991-05-29,
Briefly ,1991-05-29,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,`````
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
